STATION_ID,DURATION,SENSOR_NUMBER,SENSOR_TYPE,DATE TIME,OBS DATE,VALUE,DATA_FLAG,UNITS
TLD,E,16,RAINTIP,20180501 0000,20180501 0000,31.21, ,INCHES
TLD,E,16,RAINTIP,20180501 0100,20180501 0100,31.21, ,INCHES
TLD,E,16,RAINTIP,20180501 0200,20180501 0200,31.21, ,INCHES
TLD,E,16,RAINTIP,20180501 0300,20180501 0300,31.21, ,INCHES
TLD,E,16,RAINTIP,20180501 0400,20180501 0400,31.21, ,INCHES
TLD,E,16,RAINTIP,20180501 0500,20180501 0500,31.21, ,INCHES
TLD,E,16,RAINTIP,20180501 0600,20180501 0600,31.21, ,INCHES
TLD,E,16,RAINTIP,20180501 0700,20180501 0700,31.21, ,INCHES
TLD,E,16,RAINTIP,20180501 0800,20180501 0800,31.21, ,INCHES
TLD,E,16,RAINTIP,20180501 0900,20180501 0900,31.21, ,INCHES
TLD,E,16,RAINTIP,20180501 1000,20180501 1000,31.21, ,INCHES
TLD,E,16,RAINTIP,20180501 1100,20180501 1100,31.21, ,INCHES
TLD,E,16,RAINTIP,20180501 1200,20180501 1200,31.21, ,INCHES
TLD,E,16,RAINTIP,20180501 1300,20180501 1300,31.21, ,INCHES
TLD,E,16,RAINTIP,20180501 1400,20180501 1400,31.21, ,INCHES
TLD,E,16,RAINTIP,20180501 1500,20180501 1500,31.21, ,INCHES
TLD,E,16,RAINTIP,20180501 1600,20180501 1600,31.21, ,INCHES
TLD,E,16,RAINTIP,20180501 1700,20180501 1700,31.21, ,INCHES
TLD,E,16,RAINTIP,20180501 1800,20180501 1800,31.21, ,INCHES
TLD,E,16,RAINTIP,20180501 1900,20180501 1900,31.21, ,INCHES
TLD,E,16,RAINTIP,20180501 2000,20180501 2000,31.21, ,INCHES
TLD,E,16,RAINTIP,20180501 2100,20180501 2100,31.21, ,INCHES
TLD,E,16,RAINTIP,20180501 2200,20180501 2200,31.21, ,INCHES
TLD,E,16,RAINTIP,20180501 2300,20180501 2300,31.21, ,INCHES
