"","x"
"1",31.21
"2",31.21
"3",31.2183333333333
"4",31.22
"5",31.22
"6",31.22
"7",31.22
"8",31.22
"9",31.22
"10",31.22
"11",31.22
"12",31.22
"13",31.2292
"14",31.2376
"15",31.24
"16",31.24
"17",31.24
"18",31.2476
"19",31.2596
"20",31.26
"21",31.2604
"22",31.3053333333333
"23",31.3906451612903
"24",31.41
"25",31.4468965517241
"26",31.4788
"27",31.48
"28",31.48
"29",31.48
"30",31.48
"31",31.48
"32",31.48
"33",31.48
"34",31.48
"35",31.48
"36",31.48
"37",31.48
"38",31.48
"39",31.48
"40",31.4872
"41",31.49
"42",31.49
"43",31.49
"44",31.49
"45",31.49
"46",31.49
"47",31.49
"48",31.4984
"49",31.5076
"50",31.51
"51",31.51
"52",31.51
"53",31.51
"54",31.51
"55",31.5108
"56",31.5657142857143
"57",31.58
"58",31.5876
"59",31.5972
"60",31.6
"61",31.6
"62",8e-04
"63",0.0374074074074074
"64",0.0780769230769231
"65",0.0872
"66",0.1076
"67",0.11
"68",0.11
"69",0.11
"70",0.11
"71",0.11
"72",0.11
"73",0.11
"74",0.11
"75",0.11
"76",0.1176
"77",0.12
"78",0.12
"79",0.12
"80",0.12
"81",0.12
"82",0.12
"83",0.12
"84",0.12
"85",0.12
"86",0.12
"87",0.12
"88",0.12
"89",0.12
"90",0.12
"91",0.12
"92",0.12
"93",0.12
"94",0.12
"95",0.12
"96",0.12
"97",0.12
"98",0.12
"99",0.12
"100",0.12
"101",0.12
"102",0.12
"103",0.12
"104",0.12
"105",0.12
"106",0.12
"107",0.12
"108",0.12
"109",0.12
"110",0.12
"111",0.12
"112",0.12
"113",0.12
"114",0.12
"115",0.12
"116",0.12
"117",0.12
"118",0.12
"119",0.12
"120",0.12
"121",0.12
"122",0.12
"123",0.12
"124",0.12
"125",0.12
"126",0.12
"127",0.12
"128",0.12
"129",0.12
"130",0.12
"131",0.12
"132",0.12
"133",0.12
"134",0.12
"135",0.12
"136",0.12
"137",0.12
"138",0.12
"139",0.12
"140",0.12
"141",0.12
"142",0.12
"143",0.12
"144",0.12
"145",0.12
"146",0.12
"147",0.12
"148",0.12
"149",0.12
"150",0.12
"151",0.12
"152",0.12
"153",0.12
"154",0.12
"155",0.12
"156",0.12
"157",0.12
"158",0.12
"159",0.12
"160",0.12
"161",0.12
"162",0.12
"163",0.12
"164",0.12
"165",0.12
"166",0.12
"167",0.12
"168",0.12
"169",0.12
"170",0.12
"171",0.12
"172",0.12
"173",0.12
"174",0.12
"175",0.12
"176",0.12
"177",0.12
"178",0.12
"179",0.12
"180",0.12
"181",0.12
"182",0.12
"183",0.12
"184",0.12
"185",0.12
"186",0.12
"187",0.12
"188",0.12
"189",0.12
"190",0.12
"191",0.12
"192",0.12
"193",0.12
"194",0.12
"195",0.12
"196",0.12
"197",0.12
"198",0.12
"199",0.12
"200",0.12
"201",0.12
"202",0.12
"203",0.12
"204",0.12
"205",0.733734939759036
"206",1.70564885496183
"207",3.11459119496855
"208",3.95647058823529
"209",3.98
"210",3.98
"211",4.13534482758621
"212",5.09457364341085
"213",7.10852631578947
"214",7.54
"215",7.9596511627907
"216",8.29
"217",8.29
"218",8.29222222222222
"219",8.54931034482759
"220",8.68
"221",8.68
"222",8.68
"223",8.68
"224",8.6864
"225",8.69
"226",8.69
"227",8.69
"228",8.7075
"229",8.7368
"230",9.49981707317073
"231",10.3625925925926
"232",10.37
"233",10.3992592592593
"234",10.41
"235",10.48
"236",10.52
"237",10.52
"238",11.0199065420561
"239",11.6044827586207
"240",11.61
"241",11.61
"242",11.61
"243",11.61
"244",11.61
"245",11.61
"246",11.61
"247",11.61
"248",11.61
"249",11.61
"250",11.7501851851852
"251",13.1999596774194
"252",14.5408
"253",14.5772413793103
"254",14.9321518987342
"255",15.2676
"256",15.3443243243243
"257",15.4176
"258",15.42
"259",15.4257692307692
"260",15.95312
"261",17.4896907216495
"262",18.8398461538462
"263",19.0622222222222
"264",19.09
"265",19.5638532110092
"266",20.0577777777778
"267",20.06
"268",20.06
"269",20.06
"270",20.06
"271",20.06
"272",20.06
"273",20.06
"274",20.06
"275",20.0642857142857
"276",20.2107692307692
"277",20.3582692307692
"278",21.11225
"279",21.9927906976744
"280",22.8003921568627
"281",23.2533333333333
"282",23.28
"283",23.28
"284",23.452380952381
"285",24.0062790697674
"286",24.5189743589744
"287",24.58
"288",24.6371111111111
"289",26.404006514658
"290",29.0873913043478
"291",30.34
"292",30.6927906976744
"293",30.8321875
"294",30.85
"295",30.85
"296",30.85
"297",30.85
"298",30.85
"299",30.85
"300",30.85
"301",31.0233870967742
"302",32.1951813471503
"303",33.9607831325301
"304",34.7088
"305",34.71
"306",35.2366666666667
"307",35.7397058823529
"308",35.9368888888889
"309",36.145
"310",37.1902380952381
"311",38.0072413793103
"312",38.02
"313",38.12275
"314",38.3005555555556
"315",38.34
"316",38.34
"317",38.34
"318",38.34
"319",38.34
"320",38.34
"321",38.34
"322",38.34
"323",38.3404
"324",38.8572380952381
"325",39.27
"326",39.4584848484849
"327",39.8727659574468
"328",39.94
"329",40.5048484848485
"330",41.1963888888889
"331",41.4496
"332",41.6093103448276
"333",41.65
"334",41.65
"335",41.65
"336",41.6639285714286
"337",41.8262962962963
"338",42.0237037037037
"339",42.0442307692308
"340",42.222037037037
"341",42.3826923076923
"342",42.4151851851852
"343",42.4343333333333
"344",42.4876
"345",42.49
"346",42.49
"347",42.49
"348",42.49
"349",42.49
"350",42.5315789473684
"351",42.7864285714286
"352",42.84
"353",42.84
"354",42.84
"355",42.88
"356",42.89
"357",42.89
"358",42.89
"359",42.89
"360",42.89
"361",42.89
"362",42.89
"363",42.9056
"364",42.91
"365",42.91
"366",42.91
"367",42.91
"368",42.91
"369",42.91
"370",42.91
"371",42.9364285714286
"372",42.95
"373",42.9584
"374",42.9979310344828
"375",43.0188
"376",43.0361538461538
"377",43.0484
"378",43.05
"379",43.05
"380",43.61375
"381",44.4958181818182
"382",44.67
"383",45.1502479338843
"384",46.1763888888889
"385",46.44125
"386",46.7286274509804
"387",46.84
"388",46.84
"389",46.84
"390",46.8648148148148
"391",46.8884615384615
"392",46.89
"393",46.898
"394",46.9
"395",46.9321428571429
"396",46.94
"397",46.94
"398",46.9639285714286
"399",46.9973076923077
"400",47
"401",47
"402",47
"403",47
"404",47
