Category: All categories

Week,artificial intelligence: (United States)
2018-05-06,45
2018-05-13,37
2018-05-20,37
2018-05-27,36
2018-06-03,35
2018-06-10,33
2018-06-17,26
2018-06-24,31
2018-07-01,28
2018-07-08,29
2018-07-15,26
2018-07-22,26
2018-07-29,27
2018-08-05,27
2018-08-12,26
2018-08-19,29
2018-08-26,29
2018-09-02,32
2018-09-09,35
2018-09-16,35
2018-09-23,33
2018-09-30,34
2018-10-07,33
2018-10-14,35
2018-10-21,37
2018-10-28,34
2018-11-04,35
2018-11-11,37
2018-11-18,29
2018-11-25,38
2018-12-02,42
2018-12-09,38
2018-12-16,38
2018-12-23,21
2018-12-30,25
2019-01-06,33
2019-01-13,40
2019-01-20,35
2019-01-27,35
2019-02-03,36
2019-02-10,39
2019-02-17,34
2019-02-24,35
2019-03-03,37
2019-03-10,37
2019-03-17,36
2019-03-24,36
2019-03-31,37
2019-04-07,35
2019-04-14,38
2019-04-21,35
2019-04-28,35
2019-05-05,32
2019-05-12,32
2019-05-19,31
2019-05-26,32
2019-06-02,33
2019-06-09,33
2019-06-16,31
2019-06-23,29
2019-06-30,26
2019-07-07,26
2019-07-14,33
2019-07-21,26
2019-07-28,29
2019-08-04,27
2019-08-11,30
2019-08-18,26
2019-08-25,30
2019-09-01,30
2019-09-08,30
2019-09-15,35
2019-09-22,33
2019-09-29,36
2019-10-06,32
2019-10-13,32
2019-10-20,35
2019-10-27,33
2019-11-03,33
2019-11-10,37
2019-11-17,35
2019-11-24,29
2019-12-01,39
2019-12-08,36
2019-12-15,29
2019-12-22,23
2019-12-29,26
2020-01-05,33
2020-01-12,33
2020-01-19,35
2020-01-26,32
2020-02-02,34
2020-02-09,34
2020-02-16,35
2020-02-23,36
2020-03-01,33
2020-03-08,29
2020-03-15,25
2020-03-22,28
2020-03-29,31
2020-04-05,32
2020-04-12,31
2020-04-19,32
2020-04-26,32
2020-05-03,31
2020-05-10,29
2020-05-17,26
2020-05-24,25
2020-05-31,26
2020-06-07,27
2020-06-14,27
2020-06-21,23
2020-06-28,25
2020-07-05,26
2020-07-12,28
2020-07-19,28
2020-07-26,26
2020-08-02,25
2020-08-09,26
2020-08-16,30
2020-08-23,26
2020-08-30,27
2020-09-06,31
2020-09-13,32
2020-09-20,30
2020-09-27,27
2020-10-04,28
2020-10-11,28
2020-10-18,31
2020-10-25,29
2020-11-01,25
2020-11-08,31
2020-11-15,27
2020-11-22,28
2020-11-29,31
2020-12-06,29
2020-12-13,26
2020-12-20,23
2020-12-27,24
2021-01-03,25
2021-01-10,26
2021-01-17,27
2021-01-24,28
2021-01-31,28
2021-02-07,28
2021-02-14,30
2021-02-21,28
2021-02-28,28
2021-03-07,27
2021-03-14,23
2021-03-21,22
2021-03-28,25
2021-04-04,28
2021-04-11,27
2021-04-18,28
2021-04-25,29
2021-05-02,34
2021-05-09,28
2021-05-16,23
2021-05-23,23
2021-05-30,27
2021-06-06,24
2021-06-13,24
2021-06-20,21
2021-06-27,23
2021-07-04,25
2021-07-11,24
2021-07-18,25
2021-07-25,23
2021-08-01,21
2021-08-08,22
2021-08-15,26
2021-08-22,26
2021-08-29,28
2021-09-05,26
2021-09-12,28
2021-09-19,29
2021-09-26,29
2021-10-03,34
2021-10-10,31
2021-10-17,33
2021-10-24,34
2021-10-31,31
2021-11-07,32
2021-11-14,33
2021-11-21,24
2021-11-28,35
2021-12-05,31
2021-12-12,28
2021-12-19,23
2021-12-26,21
2022-01-02,25
2022-01-09,26
2022-01-16,27
2022-01-23,28
2022-01-30,29
2022-02-06,31
2022-02-13,31
2022-02-20,30
2022-02-27,29
2022-03-06,30
2022-03-13,29
2022-03-20,30
2022-03-27,34
2022-04-03,33
2022-04-10,31
2022-04-17,34
2022-04-24,33
2022-05-01,30
2022-05-08,31
2022-05-15,27
2022-05-22,26
2022-05-29,21
2022-06-05,26
2022-06-12,31
2022-06-19,27
2022-06-26,26
2022-07-03,25
2022-07-10,26
2022-07-17,27
2022-07-24,26
2022-07-31,26
2022-08-07,28
2022-08-14,26
2022-08-21,32
2022-08-28,31
2022-09-04,33
2022-09-11,34
2022-09-18,35
2022-09-25,34
2022-10-02,32
2022-10-09,34
2022-10-16,33
2022-10-23,34
2022-10-30,34
2022-11-06,33
2022-11-13,32
2022-11-20,25
2022-11-27,37
2022-12-04,48
2022-12-11,41
2022-12-18,29
2022-12-25,28
2023-01-01,33
2023-01-08,48
2023-01-15,43
2023-01-22,52
2023-01-29,54
2023-02-05,58
2023-02-12,53
2023-02-19,51
2023-02-26,51
2023-03-05,52
2023-03-12,47
2023-03-19,54
2023-03-26,88
2023-04-02,66
2023-04-09,71
2023-04-16,100
2023-04-23,73
